str,en,id
onboarding1_title,Bringing gaming into your daily routine,Bringing gaming into your daily routine
onboarding1_subtitle,All best games you need in a single Universe. Check it out!,All best games you need in a single Universe. Check it out!
onboarding_start,Get started,Get started
home_search_game,Search games,Search games
home_section_category,Categories,Categories
home_section_new,New Games,New Games
home_section_popular,Popular Games,Popular Games
home_section_seeall,See all,See all
detail_section_about,About game,About game
detail_section_genres,Genres,Genres
detail_section_platforms,Platforms,Platforms
detail_section_developers,Developers,Developers
detail_section_publishers,Publishers,Publishers
errlytics_failed_title,"Oops, terjadi kesalahan","Oops, terjadi kesalahan"
errlytics_failed_subtitle,Gagal mendapatkan data error logs,Gagal mendapatkan data error logs
errlytics_failed_retry,Coba Lagi,Coba Lagi
errlytics_title,Error Analytics,Error Analytics
explore_failed_title,"Oops, terjadi kesalahan","Oops, terjadi kesalahan"
explore_failed_subtitle,Gagal mendapatkan data error logs,Gagal mendapatkan data error logs
explore_failed_retry,Coba Lagi,Coba Lagi
